"","orig.dest","orig","dest","year","orig_code","dest_code","flows","contig","comlang_off","colony","dist","col45","landlocked_orig","landlocked_dest","gdp_pc_dest","gdp_pc_orig","population_dest","population_orig"
"177","CUB_AUS","CUB","AUS",2005,192,36,97,0,0,0,14717.39,0,0,0,40542.4981461435,14207.6159876468,20178543,11261586
"178","CUB_AUS","CUB","AUS",2010,192,36,166,0,0,0,14717.39,0,0,0,42588.4509885439,18394.4281772204,22154687,11225833
"179","CUB_AUS","CUB","AUS",2015,192,36,167,0,0,0,14717.39,0,0,0,45369.3103353939,20546.9263548896,23932499,11324777
"180","CUB_AUS","CUB","AUS",2020,192,36,100,0,0,0,14717.39,0,0,0,46255.9119868882,21632.848484529,25499881,11326616
"181","CYP_AUS","CYP","AUS",2000,196,36,30,0,0,0,14426.82,0,0,0,36510.1629185009,21546.7607258091,18991434,943288
"182","CYP_AUS","CYP","AUS",2005,196,36,104,0,0,0,14426.82,0,0,0,40542.4981461435,23991.229154616,20178543,1027657
"183","CYP_AUS","CYP","AUS",2010,196,36,67,0,0,0,14426.82,0,0,0,42588.4509885439,25526.6775122777,22154687,1112617
"184","CYP_AUS","CYP","AUS",2015,196,36,136,0,0,0,14426.82,0,0,0,45369.3103353939,22320.1121230985,23932499,1160987
"185","CYP_AUS","CYP","AUS",2020,196,36,131,0,0,0,14426.82,0,0,0,46255.9119868882,24769.1311170968,25499881,1207361
"186","CZE_AUS","CZE","AUS",2000,203,36,84,0,0,0,16097.52,0,1,0,36510.1629185009,21280.6403289914,18991434,10289374
"187","CZE_AUS","CZE","AUS",2005,203,36,741,0,0,0,16097.52,0,1,0,40542.4981461435,25859.1684833329,20178543,10258165
"188","CZE_AUS","CZE","AUS",2010,203,36,951,0,0,0,16097.52,0,1,0,42588.4509885439,28463.680403276,22154687,10536514
"189","CZE_AUS","CZE","AUS",2015,203,36,1038,0,0,0,16097.52,0,1,0,45369.3103353939,30686.3568831845,23932499,10601390
"190","CZE_AUS","CZE","AUS",2020,203,36,791,0,0,0,16097.52,0,1,0,46255.9119868882,33033.4204446391,25499881,10708982
"191","DEU_AUS","DEU","AUS",2000,276,36,955,0,0,0,16562.72,0,0,0,36510.1629185009,36763.0492380817,18991434,81400883
